naive s 0.07570835787337274 0.04392541206907481 0.02361721475608647 0.008165731048211455
naive m 0.17263856718782336 0.0827341703698039 0.07161326000932604 0.01829113680869341
naive l 0.3409569081617519 0.1463525126222521 0.1551616597454995 0.03944273579400033
naive xl 0.632898652763106 0.24748469665646552 0.30944510258268565 0.07596885352395474
naive 2.7 0.9558357950998471 0.32883563635405155 0.5059249787125737 0.12107518003322185
indiv s 0.06643047030083836 0.05793804603163153 0.00030978464055806396 0.008182639628648758
indiv m 0.1386221340391785 0.11960520057473331 0.0005976371699944139 0.01841929629445076
indiv l 0.2702631755499169 0.22913654982112347 0.0011330755427479745 0.039993550186045466
indiv xl 0.5191257584374398 0.44027581429108975 0.0014351679012179375 0.07741477624513209
indiv 2.7 0.7930694371927529 0.6717933373292908 0.0008672666735947132 0.12040883318986743
bucket l 5 0.2058260699152015 0.16012906981632113 0.005486807390116155 0.04021019270876423
bucket l 10 0.17626553018344565 0.13136664225021377 0.004710526089183986 0.04018836184404791
bucket l 50 0.17585279039340096 0.1327218028018251 0.0033875863533467053 0.03974340123822913
bucket l 100 0.17407434473279865 0.13116055718855932 0.0032430642750114202 0.039670723269227895
bucket l 500 0.17965656736632807 0.13681807063985615 0.0032653994392603638 0.03957309728721157bucket s 5 0.056019788375124335 0.04614817393012345 0.0014369518496096135 0.008434662595391273
bucket s 5 0.060066597326658665 0.04824434102047235 0.001776206213980913 0.010046050092205406
bucket s 10 0.058141927048563954 0.04841152275912464 0.0013200214831158518 0.008410382806323469
bucket s 50 0.055199008784256876 0.04581746822223067 0.0010793020250275732 0.00830223853699863
bucket s 100 0.059405150986276564 0.04936010325327515 0.0011478003114461898 0.008897247421555222
bucket s 500 0.06202757922001183 0.050152117107063535 0.0012793540256097913 0.010596108087338508
bucket 2.7 5 0.47231219655368484 0.34217938685324045 0.009088193578645588 0.12104461612179876
bucket 2.7 10 0.4693848123773932 0.3392291841097176 0.008839491778053344 0.12131613648962229
bucket 2.7 50 0.46977666872553525 0.3407975718844682 0.00820055182557553 0.12077854501549154
bucket 2.7 100 0.4736220730934292 0.3440428194589913 0.008379665901884437 0.12119958773255349
bucket 2.7 500 0.4867778918240219 0.3576092054601759 0.008028168999589979 0.12114051736425609
bucket l 5 1.3893050862941891 0.23465874628163874 1.1142313882010058 0.0404149518115446
bucket l 10 1.330534138996154 0.23189184942748398 1.0595810583792626 0.03906123118940741
bucket l 50 1.356887256423943 0.23255371421109886 1.0846796998055652 0.03965384240727872
bucket l 100 1.37244615603704 0.2633545436896384 1.0700815186370165 0.03901009371038526
bucket l 500 1.346908287750557 0.2209281579591334 1.0874728922499344 0.038507237541489304

indiv s None 0.07116964869201184 0.06350458995439112 0.00029073026962578297 0.007374328467994929
indiv m None 0.12143525425344705 0.10357402265071869 0.0005340551491826772 0.01732717645354569
indiv l None 0.2045005907304585 0.16894538472406567 0.0008028687909245491 0.03475233721546829
indiv xl None 0.35394049980677667 0.2872122924309224 0.001052715815603733 0.06567549156025052
indiv 2.7 None 0.46769143850542605 0.37019969639368355 0.0007021884433925152 0.09678955366834999
indiv s None 0.07725953725166619 0.06884398786351084 0.0003050106577575207 0.00811053873039782
indiv m None 0.1247300106100738 0.10564512074925006 0.0005429143086075783 0.01854197555221617
indiv l None 0.21573299067094923 0.17528099254705012 0.0007794452831149101 0.03967255284078419
indiv xl None 0.3682195609435439 0.2894472451414913 0.0009965418837964534 0.07777577391825616
indiv 2.7 None 0.48815779779106383 0.36688658711500466 0.0007348785176873208 0.12053633215837181
indiv s None 0.09875637772493065 0.07278166878968477 0.00030003394931554794 0.025674674985930325
indiv m None 0.21153823141939937 0.1391114295925945 0.00060561946593225 0.07182118236087262
indiv l None 0.40237589338794355 0.24636654276400805 0.0008167108055204153 0.15519263981841505
indiv xl None 0.7630509613081813 0.45619427878409624 0.0011437084525823594 0.30571297407150266
indiv 2.7 None 1.1806761084124446 0.684127148706466 0.0009668747894465924 0.49558208491653205
indiv s None 0.08223464628681541 0.0739126788917929 0.0002979721408337355 0.008023995254188777
indiv m None 0.1641760959289968 0.14525671848095953 0.0005409095901995897 0.01837846785783768
indiv l None 0.2945182166993618 0.25462114084511994 0.0008455618750303984 0.03905151397921145
indiv xl None 0.5368920746725053 0.45841422453522684 0.0011490602511912585 0.07732878988608718
indiv 2.7 None 0.8104671390261501 0.6887506764847785 0.0007689159829169512 0.12094754655845463
